iter	Passed	Remaining
273	43496	115248
274	43641	115053
275	43775	114830
276	43965	114753
277	44134	114622
278	44301	114485
279	44438	114269
280	44578	114063
281	44711	113840
282	44851	113633
283	44997	113444
284	45134	113231
285	45282	113047
286	45415	112826
287	45572	112665
288	45746	112546
289	45902	112382
290	46067	112240
291	46214	112054
292	46361	111869
293	46479	111614
294	46703	111614
295	46841	111406
296	46967	111173
297	47131	111027
298	47272	110829
299	47389	110574
300	47651	110659
301	48222	111454
302	48974	112656
303	49451	113218
304	49773	113418
305	50049	113511
306	50261	113457
307	50482	113421
308	50665	113301
309	50936	113375
310	51140	113297
311	51335	113201
312	51605	113269
313	51840	113256
314	52036	113158
315	52316	113241
316	52523	113164
317	52753	113137
318	52952	113043
319	53178	113003
320	53435	113030
321	53732	113139
322	54007	113198
323	54268	113226
324	54551	113300
325	54799	113297
326	55059	113319
327	55233	113161
328	55457	113106
329	55666	113019
330	55872	112926
331	56112	112901
332	56425	113020
333	56671	113003
334	56873	112897
335	57066	112774
336	57240	112612
337	57494	112607
338	57668	112445
339	57840	112278
340	58011	112111
341	58180	111938
342	58349	111765
343	58513	111583
344	58686	111418
345	58869	111273
346	59031	111088
347	59202	110919
348	59381	110765
349	59546	110586
350	59727	110436
351	59926	110320
352	60107	110169
353	60385	110195
354	60572	110053
355	60725	109852
356	61014	109894
357	61199	109748
358	61874	110477
359	62164	110515
360	62636	110871
361	63095	111201
362	63361	111188
363	63616	111154
364	63882	111137
365	64107	111050
366	64298	110901
367	64494	110762
368	64694	110629
369	64903	110510
370	65118	110403
371	65326	110282
372	65527	110149
373	65736	110030
374	65938	109897
375	66142	109767
376	66351	109647
377	66554	109515
378	66764	109395
379	66982	109286
380	67184	109152
381	67394	109031
382	67605	108910
383	67809	108778
384	68017	108652
385	68249	108562
386	68440	108407
387	68647	108279
388	68854	108149
389	69074	108040
390	69274	107898
391	69476	107758
392	69678	107620
393	69892	107499
394	70095	107361
395	70323	107260
396	70527	107124
397	70731	106986
398	70940	106854
399	71131	106697
400	71335	106558
401	71544	106426
402	71750	106291
403	71962	106162
404	72166	106022
405	72366	105875
406	72575	105741
407	72810	105646
408	73019	105512
409	73212	105354
410	73438	105243
411	73637	105094
412	73852	104967
413	74093	104876
414	74324	104770
415	74548	104654
416	74817	104600
417	75155	104642
418	75480	104664
419	75797	104673
420	76160	104743
421	76348	104571
422	76546	104414
423	76709	104208
424	76888	104025
425	77061	103833
426	77320	103757
427	77602	103711
428	77824	103584
429	78042	103451
430	78199	103238
431	78346	103011
432	78905	103324
433	79313	103437
434	79817	103670
435	80072	103580
436	80400	103581
437	80617	103441
438	80897	103379
439	81107	103227
440	81289	103039
441	82268	103859
