iter	Logloss
114	0.5874486954
115	0.5871575526
116	0.5867798667
117	0.5863703155
118	0.5858542486
119	0.5854343338
120	0.5847182628
121	0.5842182935
122	0.5836590618
123	0.583063352
124	0.5826793055
125	0.582330856
126	0.5819883703
127	0.5815734229
128	0.5812241199
129	0.5808293916
130	0.5804909374
131	0.5800436502
132	0.5797224124
133	0.5792931706
134	0.5787676936
135	0.5782699364
136	0.5778098991
137	0.577409533
138	0.5770364123
139	0.5767226303
140	0.576350718
141	0.5760298662
142	0.5756326477
143	0.5752444757
144	0.5749430424
145	0.574515955
146	0.5740797986
147	0.5736611636
148	0.5733308627
149	0.5730457935
150	0.5727556622
151	0.572467897
152	0.5721417114
153	0.5718870562
154	0.5714735485
155	0.5711180758
156	0.570803683
157	0.5703837608
158	0.5699431434
159	0.5696618223
160	0.5692789633
161	0.5689078993
162	0.5686318724
163	0.5683222066
164	0.5680102618
165	0.5676800986
166	0.5673063698
167	0.5669535215
168	0.5666473837
169	0.566303506
170	0.5658301873
171	0.5655670248
172	0.5652759337
173	0.564876438
174	0.5645355386
175	0.5641897242
176	0.5639265558
177	0.5636322739
178	0.5632858794
179	0.5629310477
180	0.5624617449
181	0.5622042897
182	0.5618877655
183	0.5616189783
184	0.561357743
185	0.5609159934
186	0.5606151234
187	0.5603265572
188	0.560048943
189	0.5597601624
190	0.5594593335
191	0.5590469691
192	0.5587233014
193	0.5583315709
194	0.5581279617
195	0.5578139426
196	0.5574250354
197	0.5572134384
198	0.5568886599
199	0.556626216
200	0.5564070447
201	0.556113937
202	0.5557573699
203	0.5555369271
204	0.5552133269
205	0.5549124659
206	0.5545523168
207	0.5542592657
208	0.5539835718
209	0.5536234401
210	0.5533669392
211	0.5530863448
212	0.5528035563
213	0.5525555547
214	0.5522668499
215	0.5520136819
216	0.5517758922
217	0.5515460642
218	0.5512740123
219	0.5510427343
220	0.5507682096
221	0.5504695668
222	0.5502293841
223	0.5499796141
224	0.5497917893
225	0.5494551939
226	0.5492976468
227	0.5490126825
228	0.5487203852
229	0.5483961952
230	0.5480215582
231	0.5477576898
232	0.5475033931
233	0.5472640279
234	0.5470835721
235	0.5468017631
236	0.5465352485
237	0.5461272305
238	0.545862575
239	0.5455777899
240	0.5453234587
241	0.5451193424
242	0.5449251405
243	0.5446668377
244	0.5443617382
245	0.5440934328
246	0.5438497455
247	0.543685429
248	0.543400902
249	0.5432320364
250	0.5429427019
251	0.5427232133
252	0.5424361746
253	0.5422289529
254	0.5419450585
255	0.5417690898
256	0.54156547
257	0.5412383141
258	0.5410584692
259	0.5406898015
260	0.5404634733
261	0.5402481148
262	0.5399539574
263	0.5396082832
264	0.53943611
265	0.5392283043
266	0.5390170885
267	0.5387877323
268	0.5385567516
269	0.5381894995
270	0.5378909724
271	0.5376503499
272	0.5373579926
273	0.5371496907
274	0.536908086
275	0.536681012
276	0.5364473476
277	0.5362775005
278	0.536094111
279	0.5357802193
280	0.5355249602
281	0.535348699
282	0.5351483194
283	0.5349762115
284	0.5347398568
285	0.5345315176
286	0.5343376301
287	0.5341241932
288	0.5338166725
289	0.533590238
290	0.5332935857
291	0.5330137661
292	0.5328259599
293	0.5326181341
294	0.5323613755
295	0.5321817876
296	0.5318546392
297	0.5315443128
298	0.531304689
299	0.5310629807
300	0.5309081638
301	0.5307164022
302	0.5304860664
303	0.5303055582
304	0.5300598121
305	0.5297982193
306	0.5295779791
307	0.5293473261
308	0.5292202591
309	0.5289177346
310	0.52868545
311	0.5285019365
312	0.5282165251
313	0.5280433331
314	0.5278102497
315	0.5276050459
316	0.5273533541
317	0.5270295457
318	0.5268272433
319	0.5266243313
320	0.526374975
321	0.5261910569
322	0.5259203779
323	0.5257387365
324	0.5255020667
325	0.525253053
326	0.525005563
327	0.524750156
328	0.524475456
329	0.5241769186
330	0.5239095618
331	0.5236743292
332	0.5234878881
333	0.5232855497
334	0.5230802848
335	0.5228037643
336	0.5225087848
337	0.5222485524
338	0.5219987607
339	0.5218363518
340	0.5216039343
341	0.5213831293
342	0.5211456328
343	0.520935658
344	0.5207651808
345	0.520512412
346	0.5203240593
347	0.5199799555
348	0.5197551179
349	0.5195501573
350	0.519278124
351	0.5191167941
352	0.5189513629
353	0.5187306315
354	0.5185075327
355	0.5183216179
356	0.5181178318
357	0.5178441875
358	0.5175473269
359	0.5173183113
360	0.517065327
361	0.5168830171
362	0.5166920755
363	0.516539482
364	0.5163552184
365	0.5161112866
366	0.5159163624
367	0.5157199392
368	0.5155119653
369	0.5152742608
370	0.5150551816
371	0.5148137954
372	0.5145739298
373	0.514372836
374	0.5141632422
375	0.513960718
376	0.5137176239
377	0.5134956457
378	0.5132862685
379	0.5130603589
380	0.5128638197
381	0.5126147638
382	0.5123470183
383	0.5121320521
384	0.5118770606
385	0.5116719051
386	0.5114288039
387	0.5112849824
388	0.5110398249
389	0.5108025961
390	0.5105717885
391	0.5103001433
392	0.5100139916
393	0.5097782178
394	0.5095261582
395	0.5092744964
396	0.5090465903
397	0.5087971714
398	0.5085390269
399	0.5083172556
400	0.5081419049
401	0.5079193937
402	0.5077550619
403	0.5073816577
404	0.5071722749
405	0.5069716496
406	0.5066987111
407	0.5064079995
408	0.5061565025
409	0.5058620139
410	0.5056105032
411	0.5053531302
412	0.505173506
413	0.50497959
414	0.5048021697
415	0.5045998411
416	0.5043905129
417	0.5041152067
418	0.5038976146
419	0.5036037072
420	0.5034037846
421	0.5031914965
422	0.5028444036
423	0.5025997342
424	0.5023801869
425	0.5022122874
426	0.5020015659
427	0.5017780459
428	0.50152963
429	0.5012734646
430	0.50098855
431	0.5007866109
432	0.500517447
433	0.5002125269
434	0.4999984383
435	0.4997324523
436	0.4995144316
437	0.4992911559
438	0.4990651092
439	0.4988683814
440	0.4986287389
441	0.498359933
